iata,icao,name,location,time,country
AAA,NTGA,Anaa Airport,"Anaa, Tuamotus, French Polynesia",UTC−10:00,French Polynesia
AAB,YARY,Arrabury Airport,"Arrabury, Queensland, Australia",UTC+10:00,Australia
AAC,HEAR,El Arish International Airport,"El Arish, Egypt",UTC+02:00,Egypt
AAD,HCAD,Adado Airport,"Adado (Cadaado), Galguduud, Somalia",UTC+03:00,Somalia
AAE,DABB,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria",UTC+01:00,Algeria
AAF,KAAF,Apalachicola Regional Airport,"Apalachicola, Florida, United States",UTC−05:00,United States
AAG,SSYA,Arapoti Airport,"Arapoti, Paraná, Brazil",UTC−03:00,Brazil
AAH,EDKA,Merzbrück Airport,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00,Germany
AAI,SWRA,Arraias Airport,"Arraias, Tocantins, Brazil",UTC−03:00,Brazil
AAJ,SMCA,Cayana Airstrip,"Awaradam, Suriname",UTC−03:00,Suriname
AAK,NGUK,Aranuka Airport,"Aranuka, Kiribati",UTC+12:00,Kiribati
AAL,EKYT,Aalborg Airport,"Aalborg, Denmark",UTC+01:00,Denmark
AAM,FAMD,Mala Mala Airport,"Mala Mala, South Africa",UTC+02:00,South Africa
AAN,OMAL,Al Ain International Airport,"Al Ain, United Arab Emirates",UTC+04:00,United Arab Emirates
AAO,SVAN,Anaco Airport,"Anaco, Venezuela",UTC−04:00,Venezuela
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,"Samarinda, East Kalimantan, Indonesia",UTC+08:00,Indonesia
AAQ,URKA,Anapa Airport,"Anapa, Krasnodar Krai, Russia",UTC+03:00,Russia
AAR,EKAH,Aarhus Airport,"Aarhus, Denmark",UTC+01:00,Denmark
AAS,Not Available,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00,Indonesia
AAT,ZWAT,Altay Airport,"Altay, Xinjiang, China",UTC+08:00,China
AAU,NSAU,Asau Airport,"Asau, Savai'i Island, Samoa",UTC+13:00,Samoa
AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",UTC+08:00,Philippines
AAX,SBAX,Araxá Airport,"Araxá, Minas Gerais, Brazil",UTC−03:00,Brazil
AAY,OYGD,Al Ghaydah Airport,"Al Ghaydah, Yemen",UTC+03:00,Yemen
AAZ,MGQZ,Quetzaltenango Airport,"Quetzaltenango, Guatemala",UTC−06:00,Guatemala
ABA,UNAA,Abakan International Airport,"Abakan, Republic of Khakassia, Russia",UTC+07:00,Russia
ABB,DNAS,Asaba International Airport,"Asaba, Nigeria",UTC+01:00,Nigeria
ABC,LEAB,Albacete Airport,"Albacete, Castilla-La Mancha, Spain",UTC+01:00,Spain
ABD,OIAA,Abadan International Airport,"Abadan, Iran",UTC+03:30,Iran
ABE,KABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States",UTC−05:00,United States
ABF,NGAB,Abaiang Atoll Airport,"Abaiang, Kiribati",UTC+12:00,Kiribati
ABG,YABI,Abingdon Airport,"Abingdon Downs, Queensland, Australia",UTC+10:00,Australia
ABH,YAPH,Alpha Airport,"Alpha, Queensland, Australia",UTC+10:00,Australia
ABI,KABI,Abilene Regional Airport,"Abilene, Texas, United States",UTC−06:00,United States
ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire",UTC+00:00,Côte d'Ivoire
ABK,HAKD,Kabri Dar Airport,"Kebri Dahar, Ethiopia",UTC+03:00,Ethiopia
ABL,PAFM,Ambler Airport (FAA: AFM),"Ambler, Alaska, United States",UTC−09:00,United States
ABM,YNPE,Northern Peninsula Airport,"Bamaga, Queensland, Australia",UTC+10:00,Australia
ABN,SMBN,Albina Airstrip,"Albina, Suriname",UTC−03:00,Suriname
ABO,DIAO,Aboisso Airport,"Aboisso, Côte d'Ivoire",UTC+00:00,Côte d'Ivoire
ABP,Not Available,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,Papua New Guinea
ABQ,KABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States",UTC−07:00,United States
ABR,KABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States",UTC−06:00,United States
ABS,HEBL,Abu Simbel Airport,"Abu Simbel, Egypt",UTC+02:00,Egypt
ABT,OEBA,Al-Baha Domestic Airport,"Al Bahah, Saudi Arabia",UTC+03:00,Saudi Arabia
ABU,WATA,Haliwen Airport,"Atambua, Indonesia",UTC+08:00,Indonesia
ABV,DNAA,Nnamdi Azikiwe International Airport,"Abuja, Nigeria",UTC+01:00,Nigeria
ABW,Not Available,Abau Airport,"Abau, Papua New Guinea",UTC+10:00,Papua New Guinea
ABX,YMAY,Albury Airport,"Albury, New South Wales, Australia",UTC+10:00,Australia
ABY,KABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States",UTC−05:00,United States
ABZ,EGPD,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom",UTC+00:00,United Kingdom
ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",UTC−06:00,Mexico
ACB,KACB,Antrim County Airport,"Bellaire, Michigan, United States",UTC−05:00,United States
ACC,DGAA,Kotoka International Airport,"Accra, Ghana",UTC+00:00,Ghana
ACD,SKAD,Alcides Fernández Airport,"Acandí, Colombia",UTC−05:00,Colombia
ACE,GCRR,Lanzarote Airport,"Lanzarote, Canary Islands, Spain",UTC+00:00,Spain
ACH,LSZR,St. Gallen–Altenrhein Airport,"Altenrhein, Switzerland",UTC+01:00,Switzerland
ACI,EGJA,Alderney Airport,"Alderney, Channel Islands, United Kingdom",UTC+00:00,United Kingdom
ACJ,VCCA,Anuradhapura Airport,"Anuradhapura, Sri Lanka",UTC+05:30,Sri Lanka
ACK,KACK,Nantucket Memorial Airport,"Nantucket, Massachusetts, United States",UTC−05:00,United States
ACL,Not Available,Aguaclara Airport,"Aguaclara, Colombia",UTC−05:00,Colombia
ACM,Not Available,Arica Airport,"Arica, Colombia",UTC−05:00,Colombia
ACN,MMCC,Ciudad Acuña International Airport,"Ciudad Acuña, Coahuila, Mexico",UTC−06:00,Mexico
ACP,OITM,Sahand Airport,"Maragheh, Iran",UTC+03:30,Iran
ACR,SKAC,Araracuara Airport,"Araracuara, Colombia",UTC−05:00,Colombia
ACS,UNKS,Achinsk Airport,"Achinsk, Krasnoyarsk Krai, Russia",UTC+07:00,Russia
ACT,KACT,Waco Regional Airport,"Waco, Texas, United States",UTC−06:00,United States
ACU,Not Available,Achutupo Airport,"Achutupo, Panama",UTC−05:00,Panama
ACV,KACV,Arcata-Eureka Airport,"Eureka / Arcata, California, United States",UTC−08:00,United States
ACX,ZUYI,Xingyi Wanfenglin Airport,"Xingyi, Guizhou, China",UTC+08:00,China
ACY,KACY,Atlantic City International Airport,"Atlantic City, New Jersey, United States",UTC−05:00,United States
ACZ,OIZB,Zabol Airport,"Zabol, Iran",UTC+03:30,Iran
ADA,LTAF,Adana Şakirpaşa Airport,"Adana, Turkey",UTC+03:00,Turkey
ADB,LTBJ,Adnan Menderes Airport,"İzmir, Turkey",UTC+03:00,Turkey
ADC,AYAN,Andakombe Airport,"Andakombe, Papua New Guinea",UTC+10:00,Papua New Guinea
ADD,HAAB,Bole International Airport,"Addis Ababa, Ethiopia",UTC+03:00,Ethiopia
ADE,OYAA,Aden International Airport,"Aden, Yemen",UTC+03:00,Yemen
ADF,LTCP,Adıyaman Airport,"Adıyaman, Turkey",UTC+03:00,Turkey
ADG,KADG,Lenawee County Airport,"Adrian, Michigan, United States",UTC−05:00,United States
ADH,UEEA,Aldan Airport,"Aldan, Yakutia, Russia",UTC+09:00,Russia
ADI,FYAR,Arandis Airport,"Arandis, Namibia",UTC+01:00,Namibia
ADJ,OJAM,Amman Civil Airport (Marka International Airport),"Amman, Jordan",UTC+02:00,Jordan
ADK,PADK,Adak Airport,"Adak Island, Alaska, United States",UTC−10:00,United States
ADL,YPAD,Adelaide Airport,"Adelaide, South Australia, Australia",UTC+09:30,Australia
ADM,KADM,Ardmore Municipal Airport,"Ardmore, Oklahoma, United States",UTC−06:00,United States
ADN,SKAN,Andes Airport,"Andes, Colombia",UTC−05:00,Colombia
ADO,YAMK,Andamooka Airport,"Andamooka, South Australia, Australia",UTC+09:30,Australia
ADP,VCCG,Ampara Airport,"Ampara, Sri Lanka",UTC+05:30,Sri Lanka
ADQ,PADQ,Kodiak Airport,"Kodiak, Alaska, United States",UTC−09:00,United States
ADR,KPHH,Robert F. Swinnie Airport (FAA: PHH),"Andrews, South Carolina, United States",UTC−05:00,United States
ADS,KADS,Addison Airport,"Dallas, Texas, United States",UTC−06:00,United States
ADT,KADH,Ada Municipal Airport (FAA: ADH),"Ada, Oklahoma, United States",UTC−06:00,United States
ADU,OITL,Ardabil Airport,"Ardabil, Iran",UTC+03:30,Iran
ADV,Not Available,Ed Daein Airport,"Ed Daein, Sudan",UTC+03:00,Sudan
ADW,KADW,Andrews Field (Andrews Air Force Base),"Camp Springs, Maryland, United States",UTC−05:00,United States
ADX,EGQL,Leuchars Station (formerly RAF Leuchars),"St Andrews, Scotland, United Kingdom",UTC+00:00,United Kingdom
ADY,FAAL,Alldays Airport,"Alldays, South Africa",UTC+02:00,South Africa
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia",UTC−05:00,Colombia
AEA,NGTB,Abemama Atoll Airport,"Abemama Atoll, Kiribati",UTC+12:00,Kiribati
AEB,ZGBS,Baise Bama Airport,"Baise, Guangxi, China",UTC+08:00,China
AEE,Not Available,Adareil Airport[1],"Adareil, South Sudan",UTC+03:00,South Sudan
AEG,WIME,Aek Godang Airport,"Padang Sidempuan, Indonesia",UTC+07:00,Indonesia
AEH,FTTC,Abéché Airport,"Abéché, Chad",UTC+01:00,Chad
AEK,AYAX,Aseki Airport,"Aseki, Papua New Guinea",UTC+10:00,Papua New Guinea
AEL,KAEL,Albert Lea Municipal Airport,"Albert Lea, Minnesota, United States",UTC−06:00,United States
AEM,UHTG,Amgu Airport,"Amgu, Primorsky Krai, Russia",UTC+10:00,Russia
AEO,GQNA,Aioun el Atrouss Airport,"Aioun el Atrouss, Mauritania",UTC+00:00,Mauritania
AEP,SABE,Jorge Newbery Airpark,"Buenos Aires, Argentina",UTC−03:00,Argentina
AEQ,Not Available,Ar Horqin Airport,"Ar Horqin Banner, China",UTC+08:00,China
AER,URSS,Sochi International Airport,"Sochi, Krasnodar Krai, Russia",UTC+03:00,Russia
AES,ENAL,"Ålesund Airport, Vigra","Ålesund, Norway",UTC+01:00,Norway
AET,PFAL,Allakaket Airport (FAA: 6A8),"Allakaket, Alaska, United States",UTC−09:00,United States
AEU,OIBA,Abu Musa Airport[1],"Abu Musa Island, Iran",UTC+03:30,Iran
AEX,KAEX,Alexandria International Airport,"Alexandria, Louisiana, United States",UTC−06:00,United States
AEY,BIAR,Akureyri Airport,"Akureyri, Iceland",UTC+00:00,Iceland
AFA,SAMR,San Rafael Airport,"San Rafael, Mendoza, Argentina",UTC−03:00,Argentina
AFD,FAPA,Port Alfred Airport,"Port Alfred, South Africa",UTC+02:00,South Africa
AFF,KAFF,United States Air Force Academy Airfield,"Colorado Springs, Colorado, United States",UTC−07:00,United States
AFI,SKAM,Amalfi Airport,"Amalfi, Colombia",UTC−05:00,Colombia
AFK,Not Available,Kondavattavan Tank Seaplane Base[1],"Ampara, Sri Lanka",UTC+05:30,Sri Lanka
AFL,SBAT,Alta Floresta Airport,"Alta Floresta, Mato Grosso, Brazil",UTC−04:00,Brazil
AFN,KAFN,Jaffrey Airport–Silver Ranch,"Jaffrey, New Hampshire, United States",UTC−05:00,United States
AFO,KAFO,Afton Municipal Airport,"Afton, Wyoming, United States",UTC−07:00,United States
AFR,AYAF,Afore Airstrip,"Afore, Papua New Guinea",UTC+10:00,Papua New Guinea
AFS,UTSN,Zarafshan Airport,"Zarafshan, Uzbekistan",UTC+05:00,Uzbekistan
AFT,AGAF,Afutara Airport,"Afutara, Malaita, Solomon Islands",UTC+11:00,Solomon Islands
AFW,KAFW,Fort Worth Alliance Airport,"Fort Worth, Texas, United States",UTC−06:00,United States
AFY,LTAH,Afyon Airport,"Afyon, Turkey",UTC+03:00,Turkey
AFZ,OIMS,Sabzevar Airport[1],"Sabzevar, Iran",UTC+03:30,Iran
AGA,GMAD,Agadir–Al Massira Airport,"Agadir, Morocco",UTC+00:00,Morocco
AGB,EDMA,Augsburg Airport,"Augsburg, Bavaria, Germany",UTC+01:00,Germany
AGC,KAGC,Allegheny County Airport,"Pittsburgh, Pennsylvania, United States",UTC−05:00,United States
AGD,WASG,Anggi Airport,"Anggi, Indonesia",UTC+09:00,Indonesia
AGE,EDWG,Wangerooge Airfield,"Wangerooge, Lower Saxony, Germany",UTC+01:00,Germany
AGF,LFBA,Agen La Garenne Airport,"Agen, Aquitaine, France",UTC+01:00,France
AGG,Not Available,Angoram Airport,"Angoram, Papua New Guinea",UTC+10:00,Papua New Guinea
AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB),"Ängelholm, Sweden",UTC+01:00,Sweden
AGI,SMWA,Wageningen Airstrip,"Wageningen, Suriname",UTC−03:00,Suriname
AGJ,RORA,Aguni Airport,"Aguni, Okinawa, Japan",UTC+09:00,Japan
AGK,Not Available,Kagua Airport,"Kagua, Papua New Guinea",UTC+10:00,Papua New Guinea
AGL,AYWG,Wanigela Airport,"Wanigela, Papua New Guinea",UTC+10:00,Papua New Guinea
AGN,PAGN,Angoon Seaplane Base,"Angoon, Alaska, United States",UTC−09:00,United States
AGO,KAGO,Magnolia Municipal Airport,"Magnolia, Arkansas, United States",UTC−06:00,United States
AGP,LEMG,Málaga Airport,"Málaga, Andalusia, Spain",UTC+01:00,Spain
AGQ,LGAG,Agrinion Airport,"Agrinion, Greece",UTC+02:00,Greece
AGR,VIAG,Agra Airport,"Agra, Uttar Pradesh, India",UTC+05:30,India
AGS,KAGS,Augusta Regional Airport at Bush Field,"Augusta, Georgia, United States",UTC−05:00,United States
AGT,SGES,Guaraní International Airport,"Ciudad del Este, Paraguay",UTC−04:00,Paraguay
AGU,MMAS,Lic. Jesús Terán Peredo International Airport,"Aguascalientes, Aguascalientes, Mexico",UTC−06:00,Mexico
AGV,SVAC,Oswaldo Guevara Mujica Airport,"Acarigua, Venezuela",UTC−04:00,Venezuela
AGW,Not Available,Agnew Airport,"Agnew, Queensland, Australia",UTC+10:00,Australia
AGX,VOAT,Agatti Aerodrome,"Agatti Island, Lakshadweep, India",UTC+05:30,India
AGZ,FAAG,Aggeneys Airport,"Aggeneys, South Africa",UTC+02:00,South Africa
AHB,OEAB,Abha Regional Airport,"Abha, Saudi Arabia",UTC+03:00,Saudi Arabia
AHC,KAHC,Amedee Army Airfield,"Herlong, California, United States",UTC−08:00,United States
AHD,Not Available,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States",UTC−06:00,United States
AHE,NTHE,Ahe Airport,"Ahe, Tuamotus, French Polynesia",UTC−10:00,French Polynesia
AHF,Not Available,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States",UTC−06:00,United States
AHH,KAHH,Amery Municipal Airport,"Amery, Wisconsin, United States",UTC−06:00,United States
AHI,WAPA,Amahai Airport,"Amahai, Indonesia",UTC+09:00,Indonesia
AHJ,ZUHY,Hongyuan Airport,"Hongyuan, Sichuan, China",UTC+08:00,China
AHL,SYAH,Aishalton Airport,"Aishalton, Guyana",UTC−04:00,Guyana
AHM,Not Available,Ashland Municipal Airport[1] (FAA: S03),"Ashland, Oregon, United States",UTC−08:00,United States
AHN,KAHN,Athens Ben Epps Airport,"Athens, Georgia, United States",UTC−05:00,United States
AHO,LIEA,Alghero-Fertilia Airport,"Alghero, Sardinia, Italy",UTC+01:00,Italy
AHS,MHAH,Ahuas Airport,"Ahuas, Honduras",UTC−06:00,Honduras
AHU,GMTA,Cherif Al Idrissi Airport,"Al Hoceima, Morocco",UTC+00:00,Morocco
AHW,Not Available,Saih Rawl Airport[1],"Saih Rawl, Oman",UTC+04:00,Oman
AHY,Not Available,Ambatolahy Airport,"Ambatolahy, Madagascar",UTC+03:00,Madagascar
AHZ,LFHU,Alpe d'Huez Airport,"Alpe d'Huez, Rhône-Alpes, France",UTC+01:00,France
AIA,KAIA,Alliance Municipal Airport,"Alliance, Nebraska, United States",UTC−07:00,United States
AIC,Not Available,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,Marshall Islands
AID,KAID,Anderson Municipal Airport (Darlington Field),"Anderson, Indiana, United States",UTC−05:00,United States
AIE,AYAO,Aiome Airport,"Aiome, Papua New Guinea",UTC+10:00,Papua New Guinea
AIF,SNAX,Assis Airport (former ICAO: SBAS),"Assis, São Paulo, Brazil",UTC−03:00,Brazil
AIG,FEFY,Yalinga Airport,"Yalinga, Central African Republic",UTC+01:00,Central African Republic
AIH,AYAK,Aiambak Airport,"Aiambak, Papua New Guinea",UTC+10:00,Papua New Guinea
AII,HDAS,Ali-Sabieh Airport,"Ali Sabieh, Djibouti",UTC+03:00,Djibouti
AIK,KAIK,Aiken Municipal Airport,"Aiken, South Carolina, United States",UTC−05:00,United States
AIL,Not Available,Ailigandí Airport,"Ailigandí, Panama",UTC−05:00,Panama
AIM,Not Available,Ailuk Airport,"Ailuk Atoll, Marshall Islands",UTC+12:00,Marshall Islands
AIN,PAWI,Wainwright Airport (FAA: AWI),"Fort Wainwright, Alaska, United States",UTC−09:00,United States
AIO,KAIO,Atlantic Municipal Airport,"Atlantic, Iowa, United States",UTC−06:00,United States
AIP,VIAX,Adampur Airport,"Jalandhar, Punjab, India",UTC+05:30,India
AIR,SSOU,Aripuanã Airport,"Aripuanã, Mato Grosso, Brazil",UTC−04:00,Brazil
AIS,NGTR,Arorae Island Airport,"Arorae Island, Kiribati",UTC+12:00,Kiribati
AIT,NCAI,Aitutaki Airport,"Aitutaki, Cook Islands",UTC−10:00,Cook Islands
AIU,NCAT,Enua Airport,"Atiu Island, Cook Islands",UTC−10:00,Cook Islands
AIV,KAIV,George Downer Airport,"Aliceville, Alabama, United States",UTC−06:00,United States
AIW,Not Available,Ai-Ais Airport,"Ai-Ais, Namibia",UTC+02:00,Namibia
AIZ,KAIZ,Lee C. Fine Memorial Airport,"Lake Ozark, Missouri, United States",UTC−06:00,United States
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,"Ajaccio, Corsica, France",UTC+01:00,France
AJF,OESK,Al-Jawf Domestic Airport,"Sakakah, Al Jawf, Saudi Arabia",UTC+03:00,Saudi Arabia
AJI,LTCO,Ağrı Airport,"Ağrı, Turkey",UTC+03:00,Turkey
AJJ,GQNJ,Akjoujt Airport,"Akjoujt, Mauritania",UTC+00:00,Mauritania
AJK,OIHR,Arak Airport[1],"Arak, Iran",UTC+03:30,Iran
AJL,VELP[2],Lengpui Airport,"Aizawl, Mizoram, India",UTC+05:30,India
AJN,FMCV,Ouani Airport,"Anjouan, Comoros",UTC+03:00,Comoros
AJR,ESNX,Arvidsjaur Airport,"Arvidsjaur, Sweden",UTC+01:00,Sweden
AJS,MX86,Punta Abreojos Airstrip,"Punta Abreojos, Baja California Sur, Mexico",UTC−07:00,Mexico
AJU,SBAR,Santa Maria Airport,"Aracaju, Sergipe, Brazil",UTC−03:00,Brazil
AJY,DRZA,Mano Dayak International Airport,"Agadez, Niger",UTC+01:00,Niger
AKA,ZLAK,Ankang Wulipu Airport,"Ankang, Shaanxi, China",UTC+08:00,China
AKB,PAAK,Atka Airport (FAA: AKA),"Atka, Alaska, United States",UTC−10:00,United States
AKC,KAKR,Akron Fulton International Airport (FAA: AKR),"Akron, Ohio, United States",UTC−05:00,United States
AKD,VAAK,Akola Airport,"Akola, Maharashtra, India",UTC+05:30,India
AKE,FOGA,Akieni Airport,"Akiéni, Gabon",UTC+01:00,Gabon
AKF,HLKF,Kufra Airport,"Kufra, Libya",UTC+02:00,Libya
AKG,AYGU,Anguganak Airport,"Anguganak, Papua New Guinea",UTC+10:00,Papua New Guinea
AKH,OEPS,Prince Sultan Air Base,"Al-Kharj, Saudi Arabia",UTC+03:00,Saudi Arabia
AKI,PFAK,Akiak Airport,"Akiak, Alaska, United States",UTC−09:00,United States
AKJ,RJEC,Asahikawa Airport,"Asahikawa, Hokkaido, Japan",UTC+09:00,Japan
AKK,PAKH,Akhiok Airport,"Akhiok, Alaska, United States",UTC−09:00,United States
AKL,NZAA,Auckland Airport,"Auckland, New Zealand",UTC+12:00,New Zealand
AKM,Not Available,Zakouma Airport,"Zakouma National Park, Chad",UTC+01:00,Chad
AKN,PAKN,King Salmon Airport,"King Salmon, Alaska, United States",UTC−09:00,United States
AKO,KAKO,Colorado Plains Regional Airport,"Akron, Colorado, United States",UTC−07:00,United States
AKP,PAKP,Anaktuvuk Pass Airport,"Anaktuvuk Pass, Alaska, United States",UTC−09:00,United States
AKQ,WIAG,Gunung Batin Airport,"Astraksetra, Indonesia",UTC+07:00,Indonesia
AKR,DNAK,Akure Airport,"Akure, Nigeria",UTC+01:00,Nigeria
AKS,AGGA,Auki Gwaunaru'u Airport,"Auki, Malaita, Solomon Islands",UTC+11:00,Solomon Islands
AKT,LCRA,RAF Akrotiri,"Akrotiri, United Kingdom",UTC+02:00,United Kingdom
AKU,ZWAK,Aksu Airport,"Aksu, Xinjiang, China",UTC+08:00,China
AKV,CYKO,Akulivik Airport,"Akulivik, Quebec, Canada",UTC−05:00,Canada
AKW,OIAG,Aghajari Airport[1],"Aghajari, Iran",UTC+03:30,Iran
AKX,UATT,Aktobe Airport,"Aktobe, Kazakhstan",UTC+05:00,Kazakhstan
AKY,VYSW,Sittwe Airport,"Sittwe, Myanmar",UTC+06:30,Myanmar
ALA,UAAA,Almaty International Airport,"Almaty, Kazakhstan",UTC+06:00,Kazakhstan
ALB,KALB,Albany International Airport,"Albany, New York, United States",UTC−05:00,United States
ALC,LEAL,Alicante–Elche Airport,"Alicante, Valencia, Spain",UTC+01:00,Spain
ALD,SPAR,Alerta Airport,"Alerta, Peru",UTC−05:00,Peru
ALE,Not Available,Alpine–Casparis Municipal Airport (FAA: E38),"Alpine, Texas, United States",UTC−06:00,United States
ALF,ENAT,Alta Airport,"Alta, Norway",UTC+01:00,Norway
ALG,DAAG,Houari Boumediene Airport,"Algiers, Algeria",UTC+01:00,Algeria
ALH,YABA,Albany Airport,"Albany, Western Australia, Australia",UTC+08:00,Australia
ALI,KALI,Alice International Airport,"Alice, Texas, United States",UTC−06:00,United States
ALJ,FAAB,Alexander Bay Airport,"Alexander Bay, South Africa",UTC+02:00,South Africa
ALK,Not Available,Asella Airport,"Asella, Ethiopia",UTC+03:00,Ethiopia
ALL,LIMG,Albenga Airport,"Albenga, Liguria, Italy",UTC+01:00,Italy
ALM,KALM,Alamogordo–White Sands Regional Airport,"Alamogordo, New Mexico, United States",UTC−07:00,United States
ALN,KALN,St. Louis Regional Airport,"Alton, Illinois, United States",UTC−06:00,United States
ALO,KALO,Waterloo Regional Airport,"Waterloo, Iowa, United States",UTC−06:00,United States
ALP,OSAP,Aleppo International Airport,"Aleppo, Syria",UTC+02:00,Syria
ALQ,SSLT,Alegrete Airport,"Alegrete, Rio Grande do Sul, Brazil",UTC−03:00,Brazil
ALR,NZLX,Alexandra Aerodrome,"Alexandra, New Zealand",UTC+12:00,New Zealand
ALS,KALS,San Luis Valley Regional Airport,"Alamosa, Colorado, United States",UTC−07:00,United States
ALT,Not Available,Alenquer Airport,"Alenquer, Pará, Brazil",UTC−03:00,Brazil
ALU,HCMA,Alula Airport,"Alula, Somalia",UTC+03:00,Somalia
ALW,KALW,Walla Walla Regional Airport,"Walla Walla, Washington, United States",UTC−08:00,United States
ALX,KALX,Thomas C. Russell Field,"Alexander City, Alabama, United States",UTC−06:00,United States
ALY,HEAX,El Nouzha Airport,"Alexandria, Egypt",UTC+02:00,Egypt
ALZ,Not Available,Alitak Seaplane Base,"Lazy Bay, Alaska, United States",UTC−09:00,United States
AMA,KAMA,Rick Husband Amarillo International Airport,"Amarillo, Texas, United States",UTC−06:00,United States
AMB,FMNE,Ambilobe Airport,"Ambilobe, Madagascar",UTC+03:00,Madagascar
AMC,FTTN,Am Timan Airport,"Am Timan, Chad",UTC+01:00,Chad
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,"Ahmedabad, Gujarat, India",UTC+05:30,India
AME,Not Available,Alto Molocue Airport,"Alto Molocue, Mozambique",UTC+02:00,Mozambique
AMF,AYAA,Ama Airport,"Ama, Papua New Guinea",UTC+10:00,Papua New Guinea
AMG,Not Available,Amboin Airport,"Amboin, Papua New Guinea",UTC+10:00,Papua New Guinea
AMH,HAAM,Arba Minch Airport,"Arba Minch, Ethiopia",UTC+03:00,Ethiopia
AMI,WADA,Selaparang Airport (closed 2011),"Mataram, Indonesia",Unknown,Indonesia
AMJ,SNAR,Almenara Airport,"Almenara, Minas Gerais, Brazil",UTC−03:00,Brazil
AMK,Not Available,Animas Air Park (FAA: 00C),"Durango, Colorado, United States",UTC−07:00,United States
AML,Not Available,Puerto Armuelles Airport,"Puerto Armuelles, Panama",UTC−05:00,Panama
AMM,OJAI,Queen Alia International Airport,"Amman, Jordan",UTC+02:00,Jordan
AMN,KAMN,Gratiot Community Airport,"Alma, Michigan, United States",UTC−05:00,United States
AMO,FTTU,Mao Airport,"Mao, Chad",UTC+01:00,Chad
AMP,FMSY,Ampanihy Airport,"Ampanihy, Madagascar",UTC+03:00,Madagascar
AMQ,WAPP,Pattimura Airport,"Ambon, Indonesia",UTC+09:00,Indonesia
AMS,EHAM,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",UTC+01:00,Netherlands
AMT,YAMT,Amata Airport,"Amata, South Australia, Australia",UTC+09:30,Australia
AMU,AYAM,Amanab Airport,"Amanab, Papua New Guinea",UTC+10:00,Papua New Guinea
AMV,ULDD,Amderma Airport,"Amderma, Nenets Autonomous Okrug, Russia",UTC+03:00,Russia
AMW,KAMW,Ames Municipal Airport,"Ames, Iowa, United States",UTC−06:00,United States
AMX,Not Available,Ammaroo Airport,"Ammaroo, Northern Territory, Australia",UTC+09:30,Australia
AMY,Not Available,Ambatomainty Airport,"Ambatomainty, Madagascar",UTC+03:00,Madagascar
AMZ,NZAR,Ardmore Airport,"Ardmore, New Zealand",UTC+12:00,New Zealand
ANA,DNAB,Angama Mara Airport,"Angama Mara, Narok County, Kenya",UTC+03:00,Kenya
ANB,KANB,Anniston Regional Airport,"Anniston, Alabama, United States",UTC−06:00,United States
ANC,PANC,Ted Stevens Anchorage International Airport,"Anchorage, Alaska, United States",UTC−09:00,United States
AND,KAND,Anderson Regional Airport,"Anderson, South Carolina, United States",UTC−05:00,United States
ANE,LFJR,Angers – Loire Airport,"Angers, Pays de la Loire, France",UTC+01:00,France
ANF,SCFA,Cerro Moreno International Airport,"Antofagasta, Chile",UTC−04:00,Chile
ANG,LFBU,Angoulême – Cognac International Airport,"Angoulême, Poitou-Charentes, France",UTC+01:00,France
ANI,PANI,Aniak Airport,"Aniak, Alaska, United States",UTC−09:00,United States
ANJ,FCBZ,Zanaga Airport,"Zanaga, Republic of the Congo",UTC+01:00,Republic of the Congo
ANK,LTAD,Etimesgut Air Base,"Ankara, Turkey",UTC+03:00,Turkey
ANL,Not Available,Andulo Airport,"Andulo, Angola",UTC+01:00,Angola
ANM,FMNH,Antsirabato Airport,"Antalaha, Madagascar",UTC+03:00,Madagascar
ANN,PANT,Annette Island Airport,"Annette Island, Alaska, United States",UTC−08:00,United States
ANO,FQAG,Angoche Airport,"Angoche, Mozambique",UTC+02:00,Mozambique
ANP,KANP,Lee Airport,"Annapolis, Maryland, United States",UTC−05:00,United States
